Bacteria,Metabolite_PC,coef_a,coef_b,coef_c,coef_c_prime,coef_a * coef_b
Coprococcus_catus,PC1,51.31064879807729,-1.8095840279229243,-62.441601100808576,7.551774614325989,-92.85093052736325
Coprococcus_catus,PC2,-59.827072532216484,0.14536814962458142,-62.441601100808576,-53.538617526413184,-8.696950831463932
Coprococcus_catus,PC3,50.71912335264,0.8206009832091689,-62.441601100808576,-111.41020682106146,41.6201624906835
Coprococcus_catus,PC4,-9.444523436835436,0.29896603389915266,-62.441601100808576,-59.756266649570236,-2.8235917139782845
Coprococcus_catus,PC5,42.92626703055798,0.7449371796594056,-62.441601100808576,-99.3367878847121,31.97737229505039
Coprococcus_catus,PC6,-3.1754077582430487,-0.004813165211164589,-62.441601100808576,-62.44347675627853,0.015283762153237576
Coprococcus_catus,PC7,48.86529837412674,0.06464496974437675,-62.441601100808576,-65.73991032665684,3.1588957349453652
Coprococcus_catus,PC8,2.3060736339167103,0.05130467607051813,-62.441601100808576,-62.435804728182156,0.11831236078285944
Coprococcus_catus,PC9,-11.693825565998587,-0.1199030793870955,-62.441601100808576,-63.89967577582527,1.4021256951787755
Coprococcus_catus,PC10,-19.48756644364841,-0.368958471929748,-62.441601100808576,-72.35089249874623,7.190102736677952
Coprococcus_catus,PC11,-24.14058039259063,-0.041910304688721485,-62.441601100808576,-63.57954894554598,1.011739079616049
Coprococcus_catus,PC12,-4.519340197322627,-0.032485884050210856,-62.441601100808576,-62.592588369245846,0.14681476163367993
Coprococcus_catus,PC13,-23.163860559203748,-0.13584419662129155,-62.441601100808576,-65.74578209156883,3.1466760283126542
Coprococcus_catus,PC14,-13.814458443148155,0.38291286429908117,-62.441601100808576,-59.641284911386016,-5.289733851206486
Coprococcus_catus,PC15,-23.220547452702288,0.05649947714104654,-62.441601100808576,-61.290586569439036,-1.3119487900065394
Coprococcus_catus,PC16,-3.8375017093412738,0.09876238663826695,-62.441601100808576,-61.72653581481673,-0.3790008275429732
