Bacteria_PC,Metabolite_PC,coef_a,coef_b,coef_c,coef_c_prime,coef_a * coef_b
PC1,PC1,-0.005859466101902185,-2.213941382944482,-0.6178659361132199,-1.1055720396668074,0.012972514484961638
PC1,PC2,-0.0636019932314056,0.1775635292791987,-0.6178659361132199,-0.6107990433221914,-0.011293394387360085
PC1,PC3,-0.11242126403682791,0.6613491661416561,-0.6178659361132199,-0.585137717535973,-0.07434970922734709
PC1,PC4,0.1077441944281913,0.4262202603835665,-0.6178659361132199,-0.7031043169621635,0.04592275860400131
PC1,PC5,-0.2938877607607716,0.5206777274755892,-0.6178659361132199,-0.49821638843272886,-0.1530208114058082
PC1,PC6,-0.013396980873308921,-0.011260000022771631,-0.6178659361132199,-0.6180478036170324,0.00015085000493852955
PC1,PC7,0.0018407693409569527,0.00465794777650687,-0.6178659361132199,-0.617845382026011,8.574207458772454e-06
PC1,PC8,-0.06818465929056058,0.007108877460054635,-0.6178659361132199,-0.6172586248821873,-0.00048471638755217096
PC1,PC9,-0.10676674976301755,-0.1827105691693985,-0.6178659361132199,-0.6403367330060399,0.01950741361756768
PC1,PC10,0.06972013786856848,-0.316026536337923,-0.6178659361132199,-0.6041577780108668,-0.02203341368360616
PC1,PC11,-0.10307362650559347,-0.08111956336521531,-0.6178659361132199,-0.6285048768628786,0.008361287576603026
PC1,PC12,-0.057499912597077964,-0.06844403516711188,-0.6178659361132199,-0.6236791126054627,0.003935526039900264
PC1,PC13,0.1656858923157517,-0.011009581340667384,-0.6178659361132199,-0.6160158175263435,-0.0018241323084513255
PC1,PC14,0.1432550609890394,0.5513772205037228,-0.6178659361132199,-0.7361745309836627,0.07898757735122784
PC1,PC15,0.04038349510330321,0.11220915358332327,-0.6178659361132199,-0.6240937792700576,0.004531397804277934
PC1,PC16,-0.06818625400574421,0.06758268823062034,-0.6178659361132199,-0.6136999362658202,-0.004608210346084099
PC1,PC17,-0.06052317764761219,-0.059277540007939694,-0.6178659361132199,-0.6217730075648826,0.003587665084413973
PC1,PC18,-0.10498232823472205,-0.11810936822803142,-0.6178659361132199,-0.6295948490146147,0.012399396462910845
PC1,PC19,-0.1928613897888033,0.2314937354877968,-0.6178659361132199,-0.5834812621839774,-0.04464620355357811
PC1,PC20,-0.07035486105830599,0.02993703036194459,-0.6178659361132199,-0.61660043593014,-0.0021062156116128995
PC1,PC21,-0.04492043367167217,-0.15516933644008402,-0.6178659361132199,-0.6271537221789525,0.006970273885434178
PC1,PC22,-0.11332586799468032,-0.17067447247387318,-0.6178659361132199,-0.6369746570660972,0.01934183273763585
PC1,PC23,0.07309359421769973,0.22398258549210878,-0.6178659361132199,-0.6406217858599785,0.016371692215791437
